source,source_id,name,category,sector,address,phone,website,rating,review_count,business_status,opening_hours,latitude,longitude,city,state,country
google_maps,ChIJeQ-dJwAVPDoRyLsp4ui9fgQ,Ajay,Jewellery,Retail,"8V7W+HG3, Balagavde Road, Bondilipuram, Balaga, बस्तवडे, Srikakulam, महाराष्ट्र 532001, India",,,None,0,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
google_maps,ChIJIdmnMwAVPDoRRcRmdB3Ojvc,JAFOR GOLD POLISH CENTRE,Jewellery,Retail,"Government Degree College Road, 4-6, Palakonda Rd, Chinna Bharatham Colony, Srikakulam, Andhra Pradesh 532001, India",,,5,1,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
google_maps,ChIJUaHfFgAVPDoRYkBSX9wgBmU,SIRAJUL HAQUE (Gold catting design centre),Jewellery,Retail,"Government Degree College Road, 4-6, Palakonda Rd, Chinna Bharatham Colony, Srikakulam, Andhra Pradesh 532001, India",,,5,1,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
google_maps,ChIJ3aLGpRwVPDoRa_pYoIAgIP4,VNB Jewellers,Jewellery,Retail,"Petromax Veedhi, Near, Seven Rd Jct, New Colony, Srikakulam, Andhra Pradesh 532001, India",094401 12797,,5,5,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
google_maps,ChIJddNF5e8VPDoREXjZFo3wfms,Kameswari Kanti Jewellery,Jewellery,Retail,"Kolla Street, near Seven Road Junction, Seven Rd Junction Area, Landmark, New Colony, Srikakulam, Andhra Pradesh 532001, India",098481 11846,,5,2,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
google_maps,ChIJLZYZshwVPDoR1djgcrVL6MA,Patnaala Jewellers,Jewellery,Retail,"G.T. Corner, Corner, Petromax St, near Seven Road Junction, Seven Rd Junction Area, New Colony, Srikakulam, Andhra Pradesh 532001, India",098485 37365,,None,0,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
google_maps,ChIJCTHGwBcVPDoRi4tuAxmsVHA,Sri Kanakamahalakshmi Silver House,Jewellery,Retail,"Krishna Complex, GT Rd, beside Metro Shoe, Chinna Bharatham Colony, Srikakulam, Andhra Pradesh 532001, India",098492 06477,,5,2,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
google_maps,ChIJZ2_LrRwVPDoRb2HMRZK_ImQ,Sri Ashapura Jewellers,Jewellery,Retail,"D.No:8-4-21, Amma Complex, Near 7 Road Junction, G.T. Road, Seven Rd Junction Area, New Colony, Srikakulam, Andhra Pradesh 532001, India",090309 52175,,5,1,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
google_maps,ChIJlzJYCywVPDoRBduXKgl0L8U,fashion vibes,Jewellery,Retail,"Koti St, Ranasthali, veedhi, New Colony, Srikakulam, Andhra Pradesh 532001, India",,,None,0,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
google_maps,ChIJX5XbYAAVPDoRKWX-GtcLPpU,Sri Krishna 1grm Gold,Jewellery,Retail,"7VWW+723, Nehru Rd, opp. utkala lodge, Ranasthali, New Colony, Srikakulam, Andhra Pradesh 532001, India",,,None,0,OPERATIONAL,,,,Srikakulam,Andhra Pradesh,India
