source,source_id,name,category,sector,address,phone,website,rating,review_count,business_status,opening_hours,latitude,longitude,city,state,country
merged,Tanishq+Jewellery+-+Vijayawada+-+M+G+Road;Tanishq,Tanishq Jewellery - Vijayawada - M G Road,Jewellery,Retail,"Jewelry store · Sudharshan Complex, Ripples Mall, No 40-1-07, MG Rd, opposite PVR",,,4.8,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,"BlueStone+Jewellery+MG+Road,+Vijayawada","BlueStone Jewellery MG Road, Vijayawada",Jewellery,Retail,"BlueStone Jewellery MG Road, Vijayawada",,,4.9,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
merged,Joyalukkas+Jewellery+-+Vijayawada;Joyalukkas,Joyalukkas Jewellery - Vijayawada,Jewellery,Retail,"Jewelry store ·  · Door No: 39, 1-63, MG Rd, near gateway hotel",,,4.7,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
merged,Vega+Jewellers;Vega Jewellers,Vega Jewellers,Jewellery,Retail,"Jewelry store · PLOT NO.10, 40-15-10/2, Nandamuri Rd, opposite Fortune Murali Park",,,4.8,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,"GRT+Jewellers+-+Labbipet,+Vijaywada","GRT Jewellers - Labbipet, Vijaywada",Jewellery,Retail,"Vijayawada, Andhra Pradesh",,,4.9,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
merged,Bhima+Jewellers+-+Vijayawada;Bhima Jewellers,Bhima Jewellers - Vijayawada,Jewellery,Retail,"Jewelry store · Bunder Road, MG Rd, next to Gateway Hotel",,,4.9,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,Swarn+Sri+Gold+%26+Diamonds+Pvt.+Ltd.,Swarn Sri Gold & Diamonds Pvt. Ltd.,Jewellery,Retail,"Jewelry store ·  · Door No. 39, 9/32, Sri Venkateswara Swamy Temple St, near Balaji Temple",,,4.7,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
merged,Goyaz+Silver+Jewellery;Goyaz Silver Jewellery,Goyaz Silver Jewellery,Jewellery,Retail,"Vijayawada, Andhra Pradesh",,,4.8,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
merged,Chandanaz+-+The+Authentic+Jeweller+-+Gold+and+Silver;Chandanaz - The Authentic Jeweller - Gold And Silver,Chandanaz - The Authentic Jeweller - Gold and Silver,Jewellery,Retail,"Jewelry store · Chandana grand, Mg road, Nandamuri Rd",,,4.9,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
google_maps,PM+GOLD+%7C+Best+Gold+and+Diamonds+Jewellery+showroom+in+Vijayawada,PM GOLD | Best Gold and Diamonds Jewellery showroom in Vijayawada,Jewellery,Retail,PM GOLD | Best Gold and Diamonds Jewellery showroom in Vijayawada,,,4.9,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
merged,Lalithaa+Jewellery+Mart+Limited+-+Vijayawada;Lalitha Jewellers,Lalithaa Jewellery Mart Limited - Vijayawada,Jewellery,Retail,"Jewelry store ·  · Siddartha catering college, 60-9-10, Polyclinic Rd, opp. Vijayawada",,,4.3,0,OPERATIONAL,,,,Vijayawada,Andhra Pradesh,India
